2024-05-28 14:54:56.842 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:mycore t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2024-05-28 14:54:56.842 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:mycore t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10 numVersionBuckets=65536
2024-05-28 14:54:56.875 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:mycore t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2024-05-28 14:54:56.878 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:mycore t:] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2024-05-28 14:54:56.891 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:jobs t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-05-28 14:54:56.921 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:jobs t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2024-05-28 14:54:56.921 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:jobs t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10 numVersionBuckets=65536
2024-05-28 14:54:56.950 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:jobs t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2024-05-28 14:54:56.950 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:jobs t:] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2024-05-28 14:54:57.106 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:jobs t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /var/solr/data/jobs/conf
2024-05-28 14:54:57.106 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:mycore t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /var/solr/data/mycore/conf
2024-05-28 14:54:57.135 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:mycore t:] o.a.s.s.DirectSolrSpellChecker init: {accuracy=0.5, maxQueryFrequency=0.01, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal}
2024-05-28 14:54:57.135 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:jobs t:] o.a.s.s.DirectSolrSpellChecker init: {accuracy=0.5, maxQueryFrequency=0.01, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal}
2024-05-28 14:54:57.151 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:mycore t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-05-28 14:54:57.151 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:jobs t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-05-28 14:54:57.153 INFO  (searcherExecutor-14-thread-1-processing-mycore) [c: s: r: x:mycore t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-05-28 14:54:57.154 INFO  (searcherExecutor-14-thread-1-processing-mycore) [c: s: r: x:mycore t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-05-28 14:54:57.154 INFO  (searcherExecutor-15-thread-1-processing-jobs) [c: s: r: x:jobs t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-05-28 14:54:57.154 INFO  (searcherExecutor-15-thread-1-processing-jobs) [c: s: r: x:jobs t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-05-28 14:54:57.165 INFO  (searcherExecutor-14-thread-1-processing-mycore) [c: s: r: x:mycore t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-05-28 14:54:57.165 INFO  (searcherExecutor-15-thread-1-processing-jobs) [c: s: r: x:jobs t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-05-28 14:55:01.741 INFO  (qtp693267461-19-null-2) [c: s: r: x: t:null-2] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1716908101648} status=0 QTime=7
2024-05-28 14:55:02.130 INFO  (qtp693267461-20-null-3) [c: s: r: x: t:null-3] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1716908101648} status=0 QTime=19
2024-05-28 14:55:02.156 INFO  (qtp693267461-26-null-4) [c: s: r: x: t:null-4] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1716908101648} status=0 QTime=11
2024-05-28 14:55:05.961 INFO  (qtp693267461-24-null-6) [c: s: r: x: t:null-6] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1716908101648} status=0 QTime=0
2024-05-28 14:55:05.986 INFO  (qtp693267461-26-null-5) [c: s: r: x:mycore t:null-5] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&show=index&wt=json&_=1716908105945} status=0 QTime=27
2024-05-28 14:55:07.072 INFO  (qtp693267461-21-null-7) [c: s: r: x:mycore t:null-7] o.a.s.c.S.Request webapp=/solr path=/replication params={wt=json&command=details&_=1716908105945} status=0 QTime=7
2024-05-28 14:55:08.080 INFO  (qtp693267461-18-null-8) [c: s: r: x: t:null-8] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1716908101648} status=0 QTime=4
2024-05-28 14:55:08.407 INFO  (qtp693267461-24-null-9) [c: s: r: x: t:null-9] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1716908101648} status=0 QTime=0
